[134, 29][163, 0]
[168, 0][120, 48]
[117, 56][173, 0]
[178, 0][115, 63]
[114, 69][183, 0]
[188, 0][114, 74]
[113, 80][193, 0]
[198, 0][113, 85]
[113, 90][203, 0]
[208, 0][113, 95]
[115, 98][213, 0]
[130, 88][117, 101]
[152, 66][218, 0]
[129, 94][118, 105]
[155, 68][223, 0]
[228, 0][157, 71]
[162, 71][233, 0]
[238, 0][169, 69]
[172, 71][243, 0]
[248, 0][174, 74]
[177, 76][253, 0]
[258, 0][180, 78]
[183, 80][263, 0]
[268, 0][196, 72]
[200, 73][273, 0]
[278, 0][204, 74]
[207, 76][283, 0]
[288, 0][210, 78]
[214, 79][293, 0]
[295, 0][216, 79]
[225, 75][300, 0]
[305, 0][230, 75]
[236, 74][310, 0]
[315, 0][241, 74]
[248, 72][320, 0]
[324, 1][252, 73]
[256, 74][326, 4]
[329, 6][260, 75]
[263, 77][333, 7]
[336, 9][267, 78]
[272, 78][338, 12]
[341, 14][278, 77]
[282, 78][343, 17]
[346, 19][287, 78]
[291, 79][348, 22]
[350, 25][293, 82]
[295, 85][350, 30]
[351, 34][296, 89]
[298, 92][352, 38]
[353, 42][300, 95]
[302, 98][350, 50]
[350, 55][304, 101]
[307, 103][351, 59]
[346, 69][309, 106]
[310, 110][344, 76]
[344, 81][312, 113]
[312, 118][343, 87]
[342, 93][313, 122]
[313, 127][340, 100]
[338, 107][314, 131]
[314, 136][328, 122]
[327, 128][314, 141]
[315, 145][330, 130]
[344, 121][315, 150]
[321, 149][350, 120]
[353, 122][325, 150]
[327, 153][355, 125]
[356, 129][328, 157]
[318, 172][357, 133]
[356, 139][321, 174]
[332, 168][354, 146]
[350, 155][333, 172]
[334, 176][347, 163]
